id,name,email,created_at,first_login,last_login,number,first_name,last_name,job_id,rank_id,phone_number,is_disable,role
161495884326445458,Storm5439,storm5439@gmail.com,2025-06-03 18:01:12,2025-06-05 18:01:12,2025-06-18 18:01:12,37592,Nina,Lefevre,1,2,0665934913,False,0
376423590864500698,Phantom6219,phantom6219@gmail.com,2023-07-30 17:28:38,2023-08-07 17:28:38,2023-09-02 17:28:38,53683,Alex,Dupont,1,3,0623872724,False,0
799376937663252458,Luna8277,luna8277@gmail.com,2025-05-26 15:28:34,2025-06-24 15:28:34,2025-12-01 15:28:34,62632,Luc,Brown,1,1,0696069116,False,0
517980321194568005,Nova8016,nova8016@gmail.com,2024-08-24 01:54:23,2024-09-06 01:54:23,2024-12-20 01:54:23,28118,Nina,Moreau,1,3,0653202359,False,0
216263497953572701,Shadow9259,shadow9259@gmail.com,2024-06-28 20:11:02,2024-07-18 20:11:02,2025-01-08 20:11:02,89925,Luc,Lefevre,1,6,0632474705,False,0
799629980572222680,Orion4603,orion4603@gmail.com,2025-05-25 17:28:56,2025-06-09 17:28:56,2025-07-27 17:28:56,23991,John,Martin,1,7,0657788844,False,0
730259113297856442,Orion3911,orion3911@gmail.com,2023-03-11 10:59:27,2023-03-31 10:59:27,2023-08-04 10:59:27,4238,Sophie,Moreau,1,4,0629162924,False,0
762520699729323947,Zephyr9497,zephyr9497@gmail.com,2024-06-16 12:52:53,2024-06-29 12:52:53,2024-07-19 12:52:53,91674,Sophie,Smith,1,4,0677459099,False,0
593250898855605423,Raven1163,raven1163@gmail.com,2024-06-28 14:32:40,2024-07-03 14:32:40,2025-01-10 14:32:40,24377,Clara,Moreau,1,4,0693622538,False,0
994427255090481384,Nova6603,nova6603@gmail.com,2024-02-03 12:24:25,2024-02-20 12:24:25,2024-05-01 12:24:25,97426,Max,Durand,1,1,0670004632,False,0
558026672034263946,Raven5712,raven5712@gmail.com,2023-06-23 00:56:38,2023-07-15 00:56:38,2023-12-25 00:56:38,81790,Max,Durand,1,2,0665620663,False,0
546135374770164554,Astra4726,astra4726@gmail.com,2024-12-11 15:48:35,2025-01-09 15:48:35,2025-04-09 15:48:35,80218,Max,Brown,1,4,0695433433,False,0
761857436829443865,Hunter4743,hunter4743@gmail.com,2024-03-28 23:22:02,2024-04-21 23:22:02,2024-06-08 23:22:02,58338,John,Dupont,1,4,0686596487,False,0
374075679799691636,Astra7344,astra7344@gmail.com,2024-11-25 22:07:21,2024-12-10 22:07:21,2025-02-20 22:07:21,61086,Sophie,Lefevre,1,3,0691603083,False,0
